"Notes"	"County"	"County Code"	"Gender"	"Gender Code"	Population
	"Traverse County, MN"	"27155"	"Male"	"M"	1653
"Total"	"Traverse County, MN"	"27155"			3259
	"Wabasha County, MN"	"27157"	"Female"	"F"	10777
	"Wabasha County, MN"	"27157"	"Male"	"M"	10850
"Total"	"Wabasha County, MN"	"27157"			21627
	"Wadena County, MN"	"27159"	"Female"	"F"	6897
	"Wadena County, MN"	"27159"	"Male"	"M"	6785
"Total"	"Wadena County, MN"	"27159"			13682
	"Waseca County, MN"	"27161"	"Female"	"F"	9609
	"Waseca County, MN"	"27161"	"Male"	"M"	9003
"Total"	"Waseca County, MN"	"27161"			18612
	"Washington County, MN"	"27163"	"Female"	"F"	132760
	"Washington County, MN"	"27163"	"Male"	"M"	129680
"Total"	"Washington County, MN"	"27163"			262440
	"Watonwan County, MN"	"27165"	"Female"	"F"	5510
	"Watonwan County, MN"	"27165"	"Male"	"M"	5387
"Total"	"Watonwan County, MN"	"27165"			10897
	"Wilkin County, MN"	"27167"	"Female"	"F"	2977
	"Wilkin County, MN"	"27167"	"Male"	"M"	3230
"Total"	"Wilkin County, MN"	"27167"			6207
	"Winona County, MN"	"27169"	"Female"	"F"	25495
	"Winona County, MN"	"27169"	"Male"	"M"	24989
"Total"	"Winona County, MN"	"27169"			50484
	"Wright County, MN"	"27171"	"Female"	"F"	68404
	"Wright County, MN"	"27171"	"Male"	"M"	69973
"Total"	"Wright County, MN"	"27171"			138377
	"Yellow Medicine County, MN"	"27173"	"Female"	"F"	4817
	"Yellow Medicine County, MN"	"27173"	"Male"	"M"	4892
"Total"	"Yellow Medicine County, MN"	"27173"			9709
	"Adams County, MS"	"28001"	"Female"	"F"	14747
	"Adams County, MS"	"28001"	"Male"	"M"	15946
"Total"	"Adams County, MS"	"28001"			30693
	"Alcorn County, MS"	"28003"	"Female"	"F"	18950
	"Alcorn County, MS"	"28003"	"Male"	"M"	18003
"Total"	"Alcorn County, MS"	"28003"			36953
	"Amite County, MS"	"28005"	"Female"	"F"	6363
	"Amite County, MS"	"28005"	"Male"	"M"	5934
"Total"	"Amite County, MS"	"28005"			12297
	"Attala County, MS"	"28007"	"Female"	"F"	9584
	"Attala County, MS"	"28007"	"Male"	"M"	8590
"Total"	"Attala County, MS"	"28007"			18174
	"Benton County, MS"	"28009"	"Female"	"F"	4180
	"Benton County, MS"	"28009"	"Male"	"M"	4079
"Total"	"Benton County, MS"	"28009"			8259
	"Bolivar County, MS"	"28011"	"Female"	"F"	16367
	"Bolivar County, MS"	"28011"	"Male"	"M"	14261
"Total"	"Bolivar County, MS"	"28011"			30628
	"Calhoun County, MS"	"28013"	"Female"	"F"	7459
	"Calhoun County, MS"	"28013"	"Male"	"M"	6902
"Total"	"Calhoun County, MS"	"28013"			14361
	"Carroll County, MS"	"28015"	"Female"	"F"	4942
	"Carroll County, MS"	"28015"	"Male"	"M"	5005
"Total"	"Carroll County, MS"	"28015"			9947
	"Chickasaw County, MS"	"28017"	"Female"	"F"	8657
	"Chickasaw County, MS"	"28017"	"Male"	"M"	8446
"Total"	"Chickasaw County, MS"	"28017"			17103
	"Choctaw County, MS"	"28019"	"Female"	"F"	4201
	"Choctaw County, MS"	"28019"	"Male"	"M"	4009
"Total"	"Choctaw County, MS"	"28019"			8210
	"Claiborne County, MS"	"28021"	"Female"	"F"	4737
	"Claiborne County, MS"	"28021"	"Male"	"M"	4251
"Total"	"Claiborne County, MS"	"28021"			8988
	"Clarke County, MS"	"28023"	"Female"	"F"	8244
	"Clarke County, MS"	"28023"	"Male"	"M"	7297
"Total"	"Clarke County, MS"	"28023"			15541
	"Clay County, MS"	"28025"	"Female"	"F"	10275
	"Clay County, MS"	"28025"	"Male"	"M"	9041
"Total"	"Clay County, MS"	"28025"			19316
	"Coahoma County, MS"	"28027"	"Female"	"F"	11870
	"Coahoma County, MS"	"28027"	"Male"	"M"	10254
"Total"	"Coahoma County, MS"	"28027"			22124
	"Copiah County, MS"	"28029"	"Female"	"F"	14599
	"Copiah County, MS"	"28029"	"Male"	"M"	13466
"Total"	"Copiah County, MS"	"28029"			28065
	"Covington County, MS"	"28031"	"Female"	"F"	9542
	"Covington County, MS"	"28031"	"Male"	"M"	9094
"Total"	"Covington County, MS"	"28031"			18636
	"DeSoto County, MS"	"28033"	"Female"	"F"	96035
	"DeSoto County, MS"	"28033"	"Male"	"M"	88910
"Total"	"DeSoto County, MS"	"28033"			184945
	"Forrest County, MS"	"28035"	"Female"	"F"	39575
	"Forrest County, MS"	"28035"	"Male"	"M"	35322
"Total"	"Forrest County, MS"	"28035"			74897
	"Franklin County, MS"	"28037"	"Female"	"F"	3927
	"Franklin County, MS"	"28037"	"Male"	"M"	3786
"Total"	"Franklin County, MS"	"28037"			7713
	"George County, MS"	"28039"	"Female"	"F"	12118
	"George County, MS"	"28039"	"Male"	"M"	12382
"Total"	"George County, MS"	"28039"			24500
	"Greene County, MS"	"28041"	"Female"	"F"	5731
	"Greene County, MS"	"28041"	"Male"	"M"	7855
"Total"	"Greene County, MS"	"28041"			13586
	"Grenada County, MS"	"28043"	"Female"	"F"	10895
	"Grenada County, MS"	"28043"	"Male"	"M"	9863
"Total"	"Grenada County, MS"	"28043"			20758
	"Hancock County, MS"	"28045"	"Female"	"F"	24393
	"Hancock County, MS"	"28045"	"Male"	"M"	23239
"Total"	"Hancock County, MS"	"28045"			47632
	"Harrison County, MS"	"28047"	"Female"	"F"	106397
	"Harrison County, MS"	"28047"	"Male"	"M"	101683
"Total"	"Harrison County, MS"	"28047"			208080
	"Hinds County, MS"	"28049"	"Female"	"F"	123572
	"Hinds County, MS"	"28049"	"Male"	"M"	108268
"Total"	"Hinds County, MS"	"28049"			231840
	"Holmes County, MS"	"28051"	"Female"	"F"	8920
	"Holmes County, MS"	"28051"	"Male"	"M"	8090
"Total"	"Holmes County, MS"	"28051"			17010
	"Humphreys County, MS"	"28053"	"Female"	"F"	4261
	"Humphreys County, MS"	"28053"	"Male"	"M"	3803
"Total"	"Humphreys County, MS"	"28053"			8064
	"Issaquena County, MS"	"28055"	"Female"	"F"	533
	"Issaquena County, MS"	"28055"	"Male"	"M"	794
"Total"	"Issaquena County, MS"	"28055"			1327
	"Itawamba County, MS"	"28057"	"Female"	"F"	11816
	"Itawamba County, MS"	"28057"	"Male"	"M"	11574
"Total"	"Itawamba County, MS"	"28057"			23390
	"Jackson County, MS"	"28059"	"Female"	"F"	73150
	"Jackson County, MS"	"28059"	"Male"	"M"	70467
"Total"	"Jackson County, MS"	"28059"			143617
	"Jasper County, MS"	"28061"	"Female"	"F"	8459
	"Jasper County, MS"	"28061"	"Male"	"M"	7924
"Total"	"Jasper County, MS"	"28061"			16383
	"Jefferson County, MS"	"28063"	"Female"	"F"	3554
	"Jefferson County, MS"	"28063"	"Male"	"M"	3436
"Total"	"Jefferson County, MS"	"28063"			6990
	"Jefferson Davis County, MS"	"28065"	"Female"	"F"	5870
	"Jefferson Davis County, MS"	"28065"	"Male"	"M"	5258
"Total"	"Jefferson Davis County, MS"	"28065"			11128
	"Jones County, MS"	"28067"	"Female"	"F"	35039
	"Jones County, MS"	"28067"	"Male"	"M"	33059
"Total"	"Jones County, MS"	"28067"			68098
	"Kemper County, MS"	"28069"	"Female"	"F"	4853
	"Kemper County, MS"	"28069"	"Male"	"M"	4889
"Total"	"Kemper County, MS"	"28069"			9742
	"Lafayette County, MS"	"28071"	"Female"	"F"	27797
	"Lafayette County, MS"	"28071"	"Male"	"M"	26222
"Total"	"Lafayette County, MS"	"28071"			54019
	"Lamar County, MS"	"28073"	"Female"	"F"	32956
	"Lamar County, MS"	"28073"	"Male"	"M"	30387
"Total"	"Lamar County, MS"	"28073"			63343
	"Lauderdale County, MS"	"28075"	"Female"	"F"	38222
	"Lauderdale County, MS"	"28075"	"Male"	"M"	35903
"Total"	"Lauderdale County, MS"	"28075"			74125
	"Lawrence County, MS"	"28077"	"Female"	"F"	6485
	"Lawrence County, MS"	"28077"	"Male"	"M"	6101
"Total"	"Lawrence County, MS"	"28077"			12586
	"Leake County, MS"	"28079"	"Female"	"F"	11031
	"Leake County, MS"	"28079"	"Male"	"M"	11755
"Total"	"Leake County, MS"	"28079"			22786
	"Lee County, MS"	"28081"	"Female"	"F"	44644
	"Lee County, MS"	"28081"	"Male"	"M"	40792
"Total"	"Lee County, MS"	"28081"			85436
	"Leflore County, MS"	"28083"	"Female"	"F"	15066
	"Leflore County, MS"	"28083"	"Male"	"M"	13117
"Total"	"Leflore County, MS"	"28083"			28183
	"Lincoln County, MS"	"28085"	"Female"	"F"	17840
	"Lincoln County, MS"	"28085"	"Male"	"M"	16313
"Total"	"Lincoln County, MS"	"28085"			34153
	"Lowndes County, MS"	"28087"	"Female"	"F"	30684
	"Lowndes County, MS"	"28087"	"Male"	"M"	27911
"Total"	"Lowndes County, MS"	"28087"			58595
	"Madison County, MS"	"28089"	"Female"	"F"	55505
	"Madison County, MS"	"28089"	"Male"	"M"	50767
"Total"	"Madison County, MS"	"28089"			106272
	"Marion County, MS"	"28091"	"Female"	"F"	12636
	"Marion County, MS"	"28091"	"Male"	"M"	11937
"Total"	"Marion County, MS"	"28091"			24573
	"Marshall County, MS"	"28093"	"Female"	"F"	17828
	"Marshall County, MS"	"28093"	"Male"	"M"	17466
"Total"	"Marshall County, MS"	"28093"			35294
	"Monroe County, MS"	"28095"	"Female"	"F"	18472
	"Monroe County, MS"	"28095"	"Male"	"M"	16780
"Total"	"Monroe County, MS"	"28095"			35252
	"Montgomery County, MS"	"28097"	"Female"	"F"	5076
	"Montgomery County, MS"	"28097"	"Male"	"M"	4699
"Total"	"Montgomery County, MS"	"28097"			9775
	"Neshoba County, MS"	"28099"	"Female"	"F"	15223
	"Neshoba County, MS"	"28099"	"Male"	"M"	13895
"Total"	"Neshoba County, MS"	"28099"			29118
	"Newton County, MS"	"28101"	"Female"	"F"	10959
	"Newton County, MS"	"28101"	"Male"	"M"	10059
"Total"	"Newton County, MS"	"28101"			21018
	"Noxubee County, MS"	"28103"	"Female"	"F"	5501
	"Noxubee County, MS"	"28103"	"Male"	"M"	4916
"Total"	"Noxubee County, MS"	"28103"			10417
	"Oktibbeha County, MS"	"28105"	"Female"	"F"	24837
	"Oktibbeha County, MS"	"28105"	"Male"	"M"	24750
"Total"	"Oktibbeha County, MS"	"28105"			49587
	"Panola County, MS"	"28107"	"Female"	"F"	17819
	"Panola County, MS"	"28107"	"Male"	"M"	16373
"Total"	"Panola County, MS"	"28107"			34192
	"Pearl River County, MS"	"28109"	"Female"	"F"	28221
	"Pearl River County, MS"	"28109"	"Male"	"M"	27314
"Total"	"Pearl River County, MS"	"28109"			55535
	"Perry County, MS"	"28111"	"Female"	"F"	6115
	"Perry County, MS"	"28111"	"Male"	"M"	5858
"Total"	"Perry County, MS"	"28111"			11973
	"Pike County, MS"	"28113"	"Female"	"F"	20717
	"Pike County, MS"	"28113"	"Male"	"M"	18571
"Total"	"Pike County, MS"	"28113"			39288
	"Pontotoc County, MS"	"28115"	"Female"	"F"	16439
	"Pontotoc County, MS"	"28115"	"Male"	"M"	15735
"Total"	"Pontotoc County, MS"	"28115"			32174
	"Prentiss County, MS"	"28117"	"Female"	"F"	12795
	"Prentiss County, MS"	"28117"	"Male"	"M"	12331
"Total"	"Prentiss County, MS"	"28117"			25126
	"Quitman County, MS"	"28119"	"Female"	"F"	3639
	"Quitman County, MS"	"28119"	"Male"	"M"	3153
"Total"	"Quitman County, MS"	"28119"			6792
	"Rankin County, MS"	"28121"	"Female"	"F"	80553
	"Rankin County, MS"	"28121"	"Male"	"M"	74718
"Total"	"Rankin County, MS"	"28121"			155271
	"Scott County, MS"	"28123"	"Female"	"F"	14311
	"Scott County, MS"	"28123"	"Male"	"M"	13813
"Total"	"Scott County, MS"	"28123"			28124
	"Sharkey County, MS"	"28125"	"Female"	"F"	2256
	"Sharkey County, MS"	"28125"	"Male"	"M"	2065
"Total"	"Sharkey County, MS"	"28125"			4321
	"Simpson County, MS"	"28127"	"Female"	"F"	13765
	"Simpson County, MS"	"28127"	"Male"	"M"	12893
"Total"	"Simpson County, MS"	"28127"			26658
	"Smith County, MS"	"28129"	"Female"	"F"	8231
	"Smith County, MS"	"28129"	"Male"	"M"	7685
"Total"	"Smith County, MS"	"28129"			15916
	"Stone County, MS"	"28131"	"Female"	"F"	9150
	"Stone County, MS"	"28131"	"Male"	"M"	9186
"Total"	"Stone County, MS"	"28131"			18336
	"Sunflower County, MS"	"28133"	"Female"	"F"	11703
	"Sunflower County, MS"	"28133"	"Male"	"M"	13407
"Total"	"Sunflower County, MS"	"28133"			25110
	"Tallahatchie County, MS"	"28135"	"Female"	"F"	6148
	"Tallahatchie County, MS"	"28135"	"Male"	"M"	7661
"Total"	"Tallahatchie County, MS"	"28135"			13809
	"Tate County, MS"	"28137"	"Female"	"F"	14719
	"Tate County, MS"	"28137"	"Male"	"M"	13602
"Total"	"Tate County, MS"	"28137"			28321
	"Tippah County, MS"	"28139"	"Female"	"F"	11303
	"Tippah County, MS"	"28139"	"Male"	"M"	10712
"Total"	"Tippah County, MS"	"28139"			22015
	"Tishomingo County, MS"	"28141"	"Female"	"F"	9924
	"Tishomingo County, MS"	"28141"	"Male"	"M"	9459
"Total"	"Tishomingo County, MS"	"28141"			19383
	"Tunica County, MS"	"28143"	"Female"	"F"	5120
	"Tunica County, MS"	"28143"	"Male"	"M"	4512
"Total"	"Tunica County, MS"	"28143"			9632
	"Union County, MS"	"28145"	"Female"	"F"	14725
	"Union County, MS"	"28145"	"Male"	"M"	14090
"Total"	"Union County, MS"	"28145"			28815
	"Walthall County, MS"	"28147"	"Female"	"F"	7375
	"Walthall County, MS"	"28147"	"Male"	"M"	6911
"Total"	"Walthall County, MS"	"28147"			14286
	"Warren County, MS"	"28149"	"Female"	"F"	23768
	"Warren County, MS"	"28149"	"Male"	"M"	21613
"Total"	"Warren County, MS"	"28149"			45381
	"Washington County, MS"	"28151"	"Female"	"F"	23661
	"Washington County, MS"	"28151"	"Male"	"M"	20248
"Total"	"Washington County, MS"	"28151"			43909
	"Wayne County, MS"	"28153"	"Female"	"F"	10486
	"Wayne County, MS"	"28153"	"Male"	"M"	9697
"Total"	"Wayne County, MS"	"28153"			20183
	"Webster County, MS"	"28155"	"Female"	"F"	4960
	"Webster County, MS"	"28155"	"Male"	"M"	4729
"Total"	"Webster County, MS"	"28155"			9689
	"Wilkinson County, MS"	"28157"	"Female"	"F"	3973
	"Wilkinson County, MS"	"28157"	"Male"	"M"	4657
"Total"	"Wilkinson County, MS"	"28157"			8630
	"Winston County, MS"	"28159"	"Female"	"F"	9159
	"Winston County, MS"	"28159"	"Male"	"M"	8796
"Total"	"Winston County, MS"	"28159"			17955
	"Yalobusha County, MS"	"28161"	"Female"	"F"	6308
	"Yalobusha County, MS"	"28161"	"Male"	"M"	5800
"Total"	"Yalobusha County, MS"	"28161"			12108
	"Yazoo County, MS"	"28163"	"Female"	"F"	11937
	"Yazoo County, MS"	"28163"	"Male"	"M"	17753
"Total"	"Yazoo County, MS"	"28163"			29690
	"Adair County, MO"	"29001"	"Female"	"F"	13172
	"Adair County, MO"	"29001"	"Male"	"M"	12171
"Total"	"Adair County, MO"	"29001"			25343
	"Andrew County, MO"	"29003"	"Female"	"F"	8948
	"Andrew County, MO"	"29003"	"Male"	"M"	8764
"Total"	"Andrew County, MO"	"29003"			17712
	"Atchison County, MO"	"29005"	"Female"	"F"	2572
	"Atchison County, MO"	"29005"	"Male"	"M"	2571
"Total"	"Atchison County, MO"	"29005"			5143
	"Audrain County, MO"	"29007"	"Female"	"F"	13738
	"Audrain County, MO"	"29007"	"Male"	"M"	11650
"Total"	"Audrain County, MO"	"29007"			25388
	"Barry County, MO"	"29009"	"Female"	"F"	17799
	"Barry County, MO"	"29009"	"Male"	"M"	17990
"Total"	"Barry County, MO"	"29009"			35789
	"Barton County, MO"	"29011"	"Female"	"F"	5982
	"Barton County, MO"	"29011"	"Male"	"M"	5772
"Total"	"Barton County, MO"	"29011"			11754
	"Bates County, MO"	"29013"	"Female"	"F"	8115
	"Bates County, MO"	"29013"	"Male"	"M"	8057
"Total"	"Bates County, MO"	"29013"			16172
	"Benton County, MO"	"29015"	"Female"	"F"	9697
	"Benton County, MO"	"29015"	"Male"	"M"	9746
"Total"	"Benton County, MO"	"29015"			19443
	"Bollinger County, MO"	"29017"	"Female"	"F"	6050
	"Bollinger County, MO"	"29017"	"Male"	"M"	6083
"Total"	"Bollinger County, MO"	"29017"			12133
	"Boone County, MO"	"29019"	"Female"	"F"	92976
	"Boone County, MO"	"29019"	"Male"	"M"	87487
"Total"	"Boone County, MO"	"29019"			180463
	"Buchanan County, MO"	"29021"	"Female"	"F"	43178
	"Buchanan County, MO"	"29021"	"Male"	"M"	44186
"Total"	"Buchanan County, MO"	"29021"			87364
	"Butler County, MO"	"29023"	"Female"	"F"	21852
	"Butler County, MO"	"29023"	"Male"	"M"	20626
"Total"	"Butler County, MO"	"29023"			42478
	"Caldwell County, MO"	"29025"	"Female"	"F"	4440
	"Caldwell County, MO"	"29025"	"Male"	"M"	4580
"Total"	"Caldwell County, MO"	"29025"			9020
	"Callaway County, MO"	"29027"	"Female"	"F"	21839
	"Callaway County, MO"	"29027"	"Male"	"M"	22904
"Total"	"Callaway County, MO"	"29027"			44743
	"Camden County, MO"	"29029"	"Female"	"F"	23323
	"Camden County, MO"	"29029"	"Male"	"M"	22982
"Total"	"Camden County, MO"	"29029"			46305
	"Cape Girardeau County, MO"	"29031"	"Female"	"F"	40688
	"Cape Girardeau County, MO"	"29031"	"Male"	"M"	38183
"Total"	"Cape Girardeau County, MO"	"29031"			78871
	"Carroll County, MO"	"29033"	"Female"	"F"	4468
	"Carroll County, MO"	"29033"	"Male"	"M"	4211
"Total"	"Carroll County, MO"	"29033"			8679
	"Carter County, MO"	"29035"	"Female"	"F"	3083
	"Carter County, MO"	"29035"	"Male"	"M"	2899
"Total"	"Carter County, MO"	"29035"			5982
	"Cass County, MO"	"29037"	"Female"	"F"	54196
	"Cass County, MO"	"29037"	"Male"	"M"	51584
"Total"	"Cass County, MO"	"29037"			105780
	"Cedar County, MO"	"29039"	"Female"	"F"	7210
	"Cedar County, MO"	"29039"	"Male"	"M"	7139
"Total"	"Cedar County, MO"	"29039"			14349
	"Chariton County, MO"	"29041"	"Female"	"F"	3722
	"Chariton County, MO"	"29041"	"Male"	"M"	3704
"Total"	"Chariton County, MO"	"29041"			7426
	"Christian County, MO"	"29043"	"Female"	"F"	45160
	"Christian County, MO"	"29043"	"Male"	"M"	43435
"Total"	"Christian County, MO"	"29043"			88595
	"Clark County, MO"	"29045"	"Female"	"F"	3319
	"Clark County, MO"	"29045"	"Male"	"M"	3478
"Total"	"Clark County, MO"	"29045"			6797
	"Clay County, MO"	"29047"	"Female"	"F"	127337
	"Clay County, MO"	"29047"	"Male"	"M"	122611
"Total"	"Clay County, MO"	"29047"			249948
	"Clinton County, MO"	"29049"	"Female"	"F"	10200
	"Clinton County, MO"	"29049"	"Male"	"M"	10187
"Total"	"Clinton County, MO"	"29049"			20387
	"Cole County, MO"	"29051"	"Female"	"F"	38000
	"Cole County, MO"	"29051"	"Male"	"M"	38745
"Total"	"Cole County, MO"	"29051"			76745
	"Cooper County, MO"	"29053"	"Female"	"F"	8476
	"Cooper County, MO"	"29053"	"Male"	"M"	9233
"Total"	"Cooper County, MO"	"29053"			17709
	"Crawford County, MO"	"29055"	"Female"	"F"	12035
	"Crawford County, MO"	"29055"	"Male"	"M"	11885
"Total"	"Crawford County, MO"	"29055"			23920
	"Dade County, MO"	"29057"	"Female"	"F"	3700
	"Dade County, MO"	"29057"	"Male"	"M"	3861
"Total"	"Dade County, MO"	"29057"			7561
	"Dallas County, MO"	"29059"	"Female"	"F"	8520
	"Dallas County, MO"	"29059"	"Male"	"M"	8358
"Total"	"Dallas County, MO"	"29059"			16878
	"Daviess County, MO"	"29061"	"Female"	"F"	4121
	"Daviess County, MO"	"29061"	"Male"	"M"	4157
"Total"	"Daviess County, MO"	"29061"			8278
	"DeKalb County, MO"	"29063"	"Female"	"F"	4699
	"DeKalb County, MO"	"29063"	"Male"	"M"	7848
"Total"	"DeKalb County, MO"	"29063"			12547
	"Dent County, MO"	"29065"	"Female"	"F"	7806
	"Dent County, MO"	"29065"	"Male"	"M"	7767
"Total"	"Dent County, MO"	"29065"			15573
	"Douglas County, MO"	"29067"	"Female"	"F"	6573
	"Douglas County, MO"	"29067"	"Male"	"M"	6612
"Total"	"Douglas County, MO"	"29067"			13185
	"Dunklin County, MO"	"29069"	"Female"	"F"	15172
	"Dunklin County, MO"	"29069"	"Male"	"M"	13959
"Total"	"Dunklin County, MO"	"29069"			29131
	"Franklin County, MO"	"29071"	"Female"	"F"	52350
	"Franklin County, MO"	"29071"	"Male"	"M"	51617
"Total"	"Franklin County, MO"	"29071"			103967
	"Gasconade County, MO"	"29073"	"Female"	"F"	7357
	"Gasconade County, MO"	"29073"	"Male"	"M"	7349
"Total"	"Gasconade County, MO"	"29073"			14706
	"Gentry County, MO"	"29075"	"Female"	"F"	3402
	"Gentry County, MO"	"29075"	"Male"	"M"	3169
"Total"	"Gentry County, MO"	"29075"			6571
	"Greene County, MO"	"29077"	"Female"	"F"	150669
	"Greene County, MO"	"29077"	"Male"	"M"	142417
"Total"	"Greene County, MO"	"29077"			293086
	"Grundy County, MO"	"29079"	"Female"	"F"	5060
	"Grundy County, MO"	"29079"	"Male"	"M"	4790
"Total"	"Grundy County, MO"	"29079"			9850
	"Harrison County, MO"	"29081"	"Female"	"F"	4213
	"Harrison County, MO"	"29081"	"Male"	"M"	4139
"Total"	"Harrison County, MO"	"29081"			8352
	"Henry County, MO"	"29083"	"Female"	"F"	11083
	"Henry County, MO"	"29083"	"Male"	"M"	10741
"Total"	"Henry County, MO"	"29083"			21824
	"Hickory County, MO"	"29085"	"Female"	"F"	4821
	"Hickory County, MO"	"29085"	"Male"	"M"	4723
"Total"	"Hickory County, MO"	"29085"			9544
	"Holt County, MO"	"29087"	"Female"	"F"	2244
	"Holt County, MO"	"29087"	"Male"	"M"	2159
"Total"	"Holt County, MO"	"29087"			4403
	"Howard County, MO"	"29089"	"Female"	"F"	4988
	"Howard County, MO"	"29089"	"Male"	"M"	5013
"Total"	"Howard County, MO"	"29089"			10001
	"Howell County, MO"	"29091"	"Female"	"F"	20587
	"Howell County, MO"	"29091"	"Male"	"M"	19530
"Total"	"Howell County, MO"	"29091"			40117
	"Iron County, MO"	"29093"	"Female"	"F"	5077
	"Iron County, MO"	"29093"	"Male"	"M"	5048
"Total"	"Iron County, MO"	"29093"			10125
	"Jackson County, MO"	"29095"	"Female"	"F"	363079
	"Jackson County, MO"	"29095"	"Male"	"M"	339932
"Total"	"Jackson County, MO"	"29095"			703011
	"Jasper County, MO"	"29097"	"Female"	"F"	62048
	"Jasper County, MO"	"29097"	"Male"	"M"	59280
"Total"	"Jasper County, MO"	"29097"			121328
	"Jefferson County, MO"	"29099"	"Female"	"F"	113319
	"Jefferson County, MO"	"29099"	"Male"	"M"	111762
"Total"	"Jefferson County, MO"	"29099"			225081
	"Johnson County, MO"	"29101"	"Female"	"F"	26410
	"Johnson County, MO"	"29101"	"Male"	"M"	27652
"Total"	"Johnson County, MO"	"29101"			54062
	"Knox County, MO"	"29103"	"Female"	"F"	1978
	"Knox County, MO"	"29103"	"Male"	"M"	1981
"Total"	"Knox County, MO"	"29103"			3959
	"Laclede County, MO"	"29105"	"Female"	"F"	18133
	"Laclede County, MO"	"29105"	"Male"	"M"	17590
"Total"	"Laclede County, MO"	"29105"			35723
	"Lafayette County, MO"	"29107"	"Female"	"F"	16480
	"Lafayette County, MO"	"29107"	"Male"	"M"	16228
"Total"	"Lafayette County, MO"	"29107"			32708
	"Lawrence County, MO"	"29109"	"Female"	"F"	19301
	"Lawrence County, MO"	"29109"	"Male"	"M"	19054
"Total"	"Lawrence County, MO"	"29109"			38355
	"Lewis County, MO"	"29111"	"Female"	"F"	4864
	"Lewis County, MO"	"29111"	"Male"	"M"	4912
"Total"	"Lewis County, MO"	"29111"			9776
	"Lincoln County, MO"	"29113"	"Female"	"F"	29500
	"Lincoln County, MO"	"29113"	"Male"	"M"	29513
"Total"	"Lincoln County, MO"	"29113"			59013
	"Linn County, MO"	"29115"	"Female"	"F"	6112
	"Linn County, MO"	"29115"	"Male"	"M"	5808
"Total"	"Linn County, MO"	"29115"			11920
	"Livingston County, MO"	"29117"	"Female"	"F"	8584
	"Livingston County, MO"	"29117"	"Male"	"M"	6643
"Total"	"Livingston County, MO"	"29117"			15227
	"McDonald County, MO"	"29119"	"Female"	"F"	11294
	"McDonald County, MO"	"29119"	"Male"	"M"	11543
"Total"	"McDonald County, MO"	"29119"			22837
	"Macon County, MO"	"29121"	"Female"	"F"	7646
	"Macon County, MO"	"29121"	"Male"	"M"	7471
"Total"	"Macon County, MO"	"29121"			15117
	"Madison County, MO"	"29123"	"Female"	"F"	6163
	"Madison County, MO"	"29123"	"Male"	"M"	5925
"Total"	"Madison County, MO"	"29123"			12088
	"Maries County, MO"	"29125"	"Female"	"F"	4336
	"Maries County, MO"	"29125"	"Male"	"M"	4361
"Total"	"Maries County, MO"	"29125"			8697
	"Marion County, MO"	"29127"	"Female"	"F"	14653
	"Marion County, MO"	"29127"	"Male"	"M"	13877
"Total"	"Marion County, MO"	"29127"			28530
	"Mercer County, MO"	"29129"	"Female"	"F"	1793
	"Mercer County, MO"	"29129"	"Male"	"M"	1824
"Total"	"Mercer County, MO"	"29129"			3617
	"Miller County, MO"	"29131"	"Female"	"F"	12824
	"Miller County, MO"	"29131"	"Male"	"M"	12795
"Total"	"Miller County, MO"	"29131"			25619
	"Mississippi County, MO"	"29133"	"Female"	"F"	6048
	"Mississippi County, MO"	"29133"	"Male"	"M"	7132
"Total"	"Mississippi County, MO"	"29133"			13180
	"Moniteau County, MO"	"29135"	"Female"	"F"	7541
	"Moniteau County, MO"	"29135"	"Male"	"M"	8591
"Total"	"Moniteau County, MO"	"29135"			16132
	"Monroe County, MO"	"29137"	"Female"	"F"	4245
	"Monroe County, MO"	"29137"	"Male"	"M"	4399
"Total"	"Monroe County, MO"	"29137"			8644
	"Montgomery County, MO"	"29139"	"Female"	"F"	5764
	"Montgomery County, MO"	"29139"	"Male"	"M"	5787
"Total"	"Montgomery County, MO"	"29139"			11551
	"Morgan County, MO"	"29141"	"Female"	"F"	10272
	"Morgan County, MO"	"29141"	"Male"	"M"	10355
"Total"	"Morgan County, MO"	"29141"			20627
	"New Madrid County, MO"	"29143"	"Female"	"F"	8865
	"New Madrid County, MO"	"29143"	"Male"	"M"	8211
"Total"	"New Madrid County, MO"	"29143"			17076
	"Newton County, MO"	"29145"	"Female"	"F"	29237
	"Newton County, MO"	"29145"	"Male"	"M"	28999
"Total"	"Newton County, MO"	"29145"			58236
	"Nodaway County, MO"	"29147"	"Female"	"F"	11016
	"Nodaway County, MO"	"29147"	"Male"	"M"	11076
"Total"	"Nodaway County, MO"	"29147"			22092
	"Oregon County, MO"	"29149"	"Female"	"F"	5349
	"Oregon County, MO"	"29149"	"Male"	"M"	5180
"Total"	"Oregon County, MO"	"29149"			10529
	"Osage County, MO"	"29151"	"Female"	"F"	6599
	"Osage County, MO"	"29151"	"Male"	"M"	7016
"Total"	"Osage County, MO"	"29151"			13615
	"Ozark County, MO"	"29153"	"Female"	"F"	4571
	"Ozark County, MO"	"29153"	"Male"	"M"	4603
"Total"	"Ozark County, MO"	"29153"			9174
	"Pemiscot County, MO"	"29155"	"Female"	"F"	8374
	"Pemiscot County, MO"	"29155"	"Male"	"M"	7431
"Total"	"Pemiscot County, MO"	"29155"			15805
	"Perry County, MO"	"29157"	"Female"	"F"	9610
