"Notes"	"County"	"County Code"	"Gender"	"Gender Code"	Population
"Total"	"Walker County, AL"	"01127"			63521
	"Washington County, AL"	"01129"	"Female"	"F"	8325
	"Washington County, AL"	"01129"	"Male"	"M"	8001
"Total"	"Washington County, AL"	"01129"			16326
	"Wilcox County, AL"	"01131"	"Female"	"F"	5451
	"Wilcox County, AL"	"01131"	"Male"	"M"	4922
"Total"	"Wilcox County, AL"	"01131"			10373
	"Winston County, AL"	"01133"	"Female"	"F"	12002
	"Winston County, AL"	"01133"	"Male"	"M"	11627
"Total"	"Winston County, AL"	"01133"			23629
	"Aleutians East Borough, AK"	"02013"	"Female"	"F"	1084
	"Aleutians East Borough, AK"	"02013"	"Male"	"M"	2253
"Total"	"Aleutians East Borough, AK"	"02013"			3337
	"Aleutians West Census Area, AK"	"02016"	"Female"	"F"	1918
	"Aleutians West Census Area, AK"	"02016"	"Male"	"M"	3716
"Total"	"Aleutians West Census Area, AK"	"02016"			5634
	"Anchorage Borough, AK"	"02020"	"Female"	"F"	141532
	"Anchorage Borough, AK"	"02020"	"Male"	"M"	146468
"Total"	"Anchorage Borough, AK"	"02020"			288000
	"Bethel Census Area, AK"	"02050"	"Female"	"F"	8901
	"Bethel Census Area, AK"	"02050"	"Male"	"M"	9485
"Total"	"Bethel Census Area, AK"	"02050"			18386
	"Bristol Bay Borough, AK"	"02060"	"Female"	"F"	398
	"Bristol Bay Borough, AK"	"02060"	"Male"	"M"	438
"Total"	"Bristol Bay Borough, AK"	"02060"			836
	"Denali Borough, AK"	"02068"	"Female"	"F"	924
	"Denali Borough, AK"	"02068"	"Male"	"M"	1173
"Total"	"Denali Borough, AK"	"02068"			2097
	"Dillingham Census Area, AK"	"02070"	"Female"	"F"	2423
	"Dillingham Census Area, AK"	"02070"	"Male"	"M"	2493
"Total"	"Dillingham Census Area, AK"	"02070"			4916
	"Fairbanks North Star Borough, AK"	"02090"	"Female"	"F"	44754
	"Fairbanks North Star Borough, AK"	"02090"	"Male"	"M"	52095
"Total"	"Fairbanks North Star Borough, AK"	"02090"			96849
	"Haines Borough, AK"	"02100"	"Female"	"F"	1269
	"Haines Borough, AK"	"02100"	"Male"	"M"	1261
"Total"	"Haines Borough, AK"	"02100"			2530
	"Hoonah-Angoon Census Area, AK"	"02105"	"Female"	"F"	1005
	"Hoonah-Angoon Census Area, AK"	"02105"	"Male"	"M"	1143
"Total"	"Hoonah-Angoon Census Area, AK"	"02105"			2148
	"Juneau Borough, AK"	"02110"	"Female"	"F"	15711
	"Juneau Borough, AK"	"02110"	"Male"	"M"	16263
"Total"	"Juneau Borough, AK"	"02110"			31974
	"Kenai Peninsula Borough, AK"	"02122"	"Female"	"F"	28085
	"Kenai Peninsula Borough, AK"	"02122"	"Male"	"M"	30623
"Total"	"Kenai Peninsula Borough, AK"	"02122"			58708
	"Ketchikan Gateway Borough, AK"	"02130"	"Female"	"F"	6793
	"Ketchikan Gateway Borough, AK"	"02130"	"Male"	"M"	7108
"Total"	"Ketchikan Gateway Borough, AK"	"02130"			13901
	"Kodiak Island Borough, AK"	"02150"	"Female"	"F"	6100
	"Kodiak Island Borough, AK"	"02150"	"Male"	"M"	6898
"Total"	"Kodiak Island Borough, AK"	"02150"			12998
	"Kusilvak Census Area, AK"	"02158"	"Female"	"F"	3936
	"Kusilvak Census Area, AK"	"02158"	"Male"	"M"	4378
"Total"	"Kusilvak Census Area, AK"	"02158"			8314
	"Lake and Peninsula Borough, AK"	"02164"	"Female"	"F"	779
	"Lake and Peninsula Borough, AK"	"02164"	"Male"	"M"	813
"Total"	"Lake and Peninsula Borough, AK"	"02164"			1592
	"Matanuska-Susitna Borough, AK"	"02170"	"Female"	"F"	52109
	"Matanuska-Susitna Borough, AK"	"02170"	"Male"	"M"	56208
"Total"	"Matanuska-Susitna Borough, AK"	"02170"			108317
	"Nome Census Area, AK"	"02180"	"Female"	"F"	4737
	"Nome Census Area, AK"	"02180"	"Male"	"M"	5267
"Total"	"Nome Census Area, AK"	"02180"			10004
	"North Slope Borough, AK"	"02185"	"Female"	"F"	3701
	"North Slope Borough, AK"	"02185"	"Male"	"M"	6131
"Total"	"North Slope Borough, AK"	"02185"			9832
	"Northwest Arctic Borough, AK"	"02188"	"Female"	"F"	3522
	"Northwest Arctic Borough, AK"	"02188"	"Male"	"M"	4099
"Total"	"Northwest Arctic Borough, AK"	"02188"			7621
	"Petersburg Borough/Census Area, AK"	"02195"	"Female"	"F"	1570
	"Petersburg Borough/Census Area, AK"	"02195"	"Male"	"M"	1696
"Total"	"Petersburg Borough/Census Area, AK"	"02195"			3266
	"Prince of Wales-Hyder Census Area, AK"	"02198"	"Female"	"F"	2797
	"Prince of Wales-Hyder Census Area, AK"	"02198"	"Male"	"M"	3406
"Total"	"Prince of Wales-Hyder Census Area, AK"	"02198"			6203
	"Sitka Borough, AK"	"02220"	"Female"	"F"	4164
	"Sitka Borough, AK"	"02220"	"Male"	"M"	4329
"Total"	"Sitka Borough, AK"	"02220"			8493
	"Skagway Municipality, AK"	"02230"	"Female"	"F"	563
	"Skagway Municipality, AK"	"02230"	"Male"	"M"	620
"Total"	"Skagway Municipality, AK"	"02230"			1183
	"Southeast Fairbanks Census Area, AK"	"02240"	"Female"	"F"	3100
	"Southeast Fairbanks Census Area, AK"	"02240"	"Male"	"M"	3793
"Total"	"Southeast Fairbanks Census Area, AK"	"02240"			6893
	"Valdez-Cordova Census Area, AK"	"02261"	"Female"	"F"	4323
	"Valdez-Cordova Census Area, AK"	"02261"	"Male"	"M"	4879
"Total"	"Valdez-Cordova Census Area, AK"	"02261"			9202
	"Wrangell City and Borough, AK"	"02275"	"Female"	"F"	1201
	"Wrangell City and Borough, AK"	"02275"	"Male"	"M"	1301
"Total"	"Wrangell City and Borough, AK"	"02275"			2502
	"Yakutat Borough, AK"	"02282"	"Female"	"F"	258
	"Yakutat Borough, AK"	"02282"	"Male"	"M"	321
"Total"	"Yakutat Borough, AK"	"02282"			579
	"Yukon-Koyukuk Census Area, AK"	"02290"	"Female"	"F"	2470
	"Yukon-Koyukuk Census Area, AK"	"02290"	"Male"	"M"	2760
"Total"	"Yukon-Koyukuk Census Area, AK"	"02290"			5230
	"Apache County, AZ"	"04001"	"Female"	"F"	36405
	"Apache County, AZ"	"04001"	"Male"	"M"	35482
"Total"	"Apache County, AZ"	"04001"			71887
	"Cochise County, AZ"	"04003"	"Female"	"F"	62165
	"Cochise County, AZ"	"04003"	"Male"	"M"	63757
"Total"	"Cochise County, AZ"	"04003"			125922
	"Coconino County, AZ"	"04005"	"Female"	"F"	72755
	"Coconino County, AZ"	"04005"	"Male"	"M"	70721
"Total"	"Coconino County, AZ"	"04005"			143476
	"Gila County, AZ"	"04007"	"Female"	"F"	27229
	"Gila County, AZ"	"04007"	"Male"	"M"	26789
"Total"	"Gila County, AZ"	"04007"			54018
	"Graham County, AZ"	"04009"	"Female"	"F"	18028
	"Graham County, AZ"	"04009"	"Male"	"M"	20809
"Total"	"Graham County, AZ"	"04009"			38837
	"Greenlee County, AZ"	"04011"	"Female"	"F"	4582
	"Greenlee County, AZ"	"04011"	"Male"	"M"	4916
"Total"	"Greenlee County, AZ"	"04011"			9498
	"La Paz County, AZ"	"04012"	"Female"	"F"	10288
	"La Paz County, AZ"	"04012"	"Male"	"M"	10820
"Total"	"La Paz County, AZ"	"04012"			21108
	"Maricopa County, AZ"	"04013"	"Female"	"F"	2268184
